variable,label,n,pearson_r,pearson_p,spearman_r,spearman_p
rank_premier,Premier rating,11,0.4051731273942216,0.21638213424824898,0.36363636363636365,0.27163754099382253
rank_leetify,Leetify rating,14,-0.17414592736337792,0.5515606472921062,-0.15604395604395604,0.5942347005808511
rank_faceit,Faceit level,9,,,,
winrate,Win rate,14,-0.3435960143622979,0.22904999740930593,-0.2662267837617375,0.35756450285085106
rating_aim,Aim rating (Leetify),14,-0.12307254784618882,0.6750981119174475,-0.0022002213534027884,0.9940439800944258
rating_positioning,Positioning rating,14,0.022178175020836008,0.9400121755977513,0.0945054945054945,0.7479382611415479
rating_utility,Utility rating,14,-0.18533866308673852,0.5258507885676733,-0.27912087912087913,0.3338450771945543
stat_accuracy_head,Headshot %,14,-0.06280366580123642,0.8311008663302506,-0.032967032967032975,0.9109186530718452
stat_preaim,Preaim (lower=better),14,-0.1266901920341687,0.666045262713976,-0.16923076923076924,0.5630172739962107
stat_reaction_time_ms,Reaction time ms,14,-0.367124238431728,0.19661904757424203,-0.39780219780219783,0.15895077451083459
stat_spray_accuracy,Spray accuracy,14,-0.4469819779654203,0.10906988811277189,-0.3538461538461538,0.2145398708812465
stat_counter_strafing_good_shots_ratio,Counter-strafing,14,-0.37502455068539464,0.1864227466564255,-0.3494505494505495,0.22068999774644735
